time,open,high,low,close,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,MACD,Signal Line,Histogram,Cross
2019-03-25,80,81.48,79.59,80.8,46349324,56.57536741598812,47.89654718143007,NaN,NaN,NaN,NaN,0.34257757252707677,-0.9388642987674447,1.2814418712945215,NaN
2019-04-01,81.23,82.53,80.605,82.49,46445353,59.548058298794146,49.822194633591934,NaN,NaN,NaN,NaN,0.6678189388458122,-0.6128665098451651,1.2806854486909773,NaN
2019-04-08,82.67,83.2,80.575,80.92,53748295,55.731170494995986,51.03260492089528,NaN,NaN,NaN,NaN,0.7897850356613816,-0.288957765958789,1.0787428016201706,NaN
2019-04-15,80.89,81.83,80.52,81.13,33347098,56.13616831118585,52.19069150225436,NaN,NaN,NaN,NaN,0.8930942564067976,-0.00157675276052929,0.8946710091673269,NaN
2019-04-22,81.87,83.49,79.56,80.49,62238190,54.499749325006555,53.04871997666991,NaN,NaN,NaN,NaN,0.9128026856927249,0.2419448587510481,0.6708578269416768,NaN
2019-04-29,80.12,80.525,77.24,77.47,65196061,47.46798660469964,53.537854537060504,NaN,NaN,NaN,NaN,0.6769297720484388,0.40755611977545747,0.2693736522729814,NaN
2019-05-06,76.92,77.66,75.17,76.56,62496411,45.560433306165656,53.31671073169281,NaN,NaN,NaN,NaN,0.41182216424112994,0.5109482852466508,-0.09912612100552087,0.5109482852466508
2019-05-13,75.65,76.95,75.21,75.91,49027739,44.194282614090504,53.21720118066312,NaN,NaN,NaN,NaN,0.14757179158021927,0.548549257475939,-0.4009774658957197,NaN
2019-05-20,76.05,76.46,73.04,74.1,45216831,40.54815580599552,52.4082876291845,NaN,NaN,NaN,NaN,-0.20553117038009816,0.5152078940692759,-0.7207390644493741,NaN
2019-05-28,74.24,74.25,70.63,70.77,51903558,34.85130250670632,51.1129364476158,NaN,NaN,NaN,NaN,-0.7454775802307125,0.3943128770961882,-1.1397904573269007,NaN
2019-06-03,71.09,74.9632,70.9659,74.58,53706489,44.465107157279206,50.32790084472866,NaN,NaN,NaN,NaN,-0.8560854217919456,0.22499017035865954,-1.0810755921506052,NaN
2019-06-10,75.19,75.81,73.81,74.35,42658888,44.04258460280324,49.648272055571574,NaN,NaN,NaN,NaN,-0.95133560624258,0.03153232125821938,-0.9828679275007993,NaN
2019-06-17,74.16,77.76,74.04,77.69,68542433,51.28228767185718,49.35068547170012,NaN,NaN,NaN,NaN,-0.7486816412823316,-0.15088722292946166,-0.59779441835287,NaN
2019-06-24,77.53,77.76,75.76,76.63,54046783,49.11067152597497,48.858094688681625,NaN,NaN,NaN,NaN,-0.6659335873529955,-0.32630236437898613,-0.33963122297400933,NaN
2019-07-01,77.13,77.925,75.41,76.13,34056399,48.07648890151566,48.25103193764788,NaN,NaN,NaN,NaN,-0.6333995441052025,-0.47189451061827964,-0.16150503348692286,NaN
2019-07-08,76.14,77.8799,75.73,77.63,36359985,51.38403719032364,47.66788757275713,NaN,NaN,NaN,NaN,-0.481033561001027,-0.5711007023118526,0.0900671413108256,-0.5711007023118526
2019-07-15,77.63,77.74,74.18,74.99,47402001,45.84844482589045,46.96197859639245,NaN,NaN,NaN,NaN,-0.5667749296686821,-0.6504725602283972,0.08369763055971502,NaN
2019-07-22,75.24,76.05,74.5,74.81,41942932,45.488619360725714,46.201439385645294,NaN,NaN,NaN,NaN,-0.6418512164633512,-0.6989525653487587,0.05710134888540752,NaN
2019-07-29,74.88,75.66,71.18,71.75,65667235,39.77385212711084,45.1495895857956,NaN,NaN,NaN,NaN,-0.9374596894054719,-0.7202839108126208,-0.2171757785928511,-0.7202839108126208
2019-08-05,70.78,72.41,69.4,70.84,74585002,38.23546098646695,44.49012347020755,NaN,NaN,NaN,NaN,-1.230971060634701,-0.7619378706840381,-0.469033189950663,NaN
2019-08-12,70.06,70.62,66.525,68.3,67447968,34.25305579766007,43.68245364817144,NaN,NaN,NaN,NaN,-1.6495230345534964,-0.8395142516074733,-0.8100087829460231,NaN
2019-08-19,68.97,69.98,67.03,67.49,54258513,33.070147095384996,42.887872539692474,NaN,NaN,NaN,NaN,-2.023265771560503,-0.9811347105272701,-1.0421310610332328,NaN
2019-08-26,68.12,69.08,66.97,68.48,44681583,35.98020123311511,42.56159007020102,NaN,NaN,NaN,NaN,-2.214052636491232,-1.1531479382092964,-1.0609046982819355,NaN
